seq,module_path,op,mapping,total_cycles,compute_cycles,fallback_cycles,snapshot_cycles,requant_cycles,write_cycles,activation_read_cycles,weight_read_cycles,valid_mac_count,tile_count,activation_bytes,weight_bytes,output_bytes
177,vision_encoder.backbone.layer.9.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
178,vision_encoder.backbone.layer.9.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
179,vision_encoder.backbone.layer.9.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
180,vision_encoder.backbone.layer.10.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
181,vision_encoder.backbone.layer.10.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
182,vision_encoder.backbone.layer.10.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
183,vision_encoder.backbone.layer.10.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
184,vision_encoder.backbone.layer.10.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
185,vision_encoder.backbone.layer.10.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
186,vision_encoder.backbone.layer.10.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
187,vision_encoder.backbone.layer.10.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
188,vision_encoder.backbone.layer.11.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
189,vision_encoder.backbone.layer.11.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
190,vision_encoder.backbone.layer.11.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
191,vision_encoder.backbone.layer.11.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
192,vision_encoder.backbone.layer.11.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
193,vision_encoder.backbone.layer.11.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
194,vision_encoder.backbone.layer.11.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
195,vision_encoder.backbone.layer.11.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
196,vision_encoder.backbone.norm,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
197,vision_encoder.backbone.embeddings.patch_embeddings,AUX_EVENT,aux_behavior,147456,,147456,,,,,,,,,,393216
198,vision_encoder.backbone.layer.0.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
199,vision_encoder.backbone.layer.0.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
200,vision_encoder.backbone.layer.0.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
201,vision_encoder.backbone.layer.0.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
202,vision_encoder.backbone.layer.0.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
203,vision_encoder.backbone.layer.0.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
204,vision_encoder.backbone.layer.0.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
205,vision_encoder.backbone.layer.0.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
206,vision_encoder.backbone.layer.1.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
207,vision_encoder.backbone.layer.1.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
208,vision_encoder.backbone.layer.1.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
209,vision_encoder.backbone.layer.1.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
210,vision_encoder.backbone.layer.1.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
211,vision_encoder.backbone.layer.1.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
212,vision_encoder.backbone.layer.1.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
213,vision_encoder.backbone.layer.1.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
214,vision_encoder.backbone.layer.2.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
215,vision_encoder.backbone.layer.2.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
216,vision_encoder.backbone.layer.2.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
217,vision_encoder.backbone.layer.2.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
218,vision_encoder.backbone.layer.2.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
219,vision_encoder.backbone.layer.2.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
220,vision_encoder.backbone.layer.2.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
221,vision_encoder.backbone.layer.2.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
222,vision_encoder.backbone.layer.3.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
223,vision_encoder.backbone.layer.3.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
224,vision_encoder.backbone.layer.3.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
225,vision_encoder.backbone.layer.3.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
226,vision_encoder.backbone.layer.3.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
227,vision_encoder.backbone.layer.3.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
228,vision_encoder.backbone.layer.3.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
229,vision_encoder.backbone.layer.3.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
230,vision_encoder.backbone.layer.4.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
231,vision_encoder.backbone.layer.4.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
232,vision_encoder.backbone.layer.4.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
233,vision_encoder.backbone.layer.4.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
234,vision_encoder.backbone.layer.4.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
235,vision_encoder.backbone.layer.4.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
236,vision_encoder.backbone.layer.4.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
237,vision_encoder.backbone.layer.4.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
238,vision_encoder.backbone.layer.5.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
239,vision_encoder.backbone.layer.5.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
240,vision_encoder.backbone.layer.5.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
241,vision_encoder.backbone.layer.5.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
242,vision_encoder.backbone.layer.5.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
243,vision_encoder.backbone.layer.5.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
244,vision_encoder.backbone.layer.5.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
245,vision_encoder.backbone.layer.5.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
246,vision_encoder.backbone.layer.6.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
247,vision_encoder.backbone.layer.6.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
248,vision_encoder.backbone.layer.6.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
249,vision_encoder.backbone.layer.6.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
250,vision_encoder.backbone.layer.6.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
251,vision_encoder.backbone.layer.6.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
252,vision_encoder.backbone.layer.6.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
253,vision_encoder.backbone.layer.6.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
254,vision_encoder.backbone.layer.7.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
255,vision_encoder.backbone.layer.7.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
256,vision_encoder.backbone.layer.7.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
257,vision_encoder.backbone.layer.7.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
258,vision_encoder.backbone.layer.7.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
259,vision_encoder.backbone.layer.7.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
260,vision_encoder.backbone.layer.7.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
261,vision_encoder.backbone.layer.7.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
262,vision_encoder.backbone.layer.8.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
263,vision_encoder.backbone.layer.8.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
264,vision_encoder.backbone.layer.8.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
265,vision_encoder.backbone.layer.8.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
266,vision_encoder.backbone.layer.8.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
267,vision_encoder.backbone.layer.8.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
268,vision_encoder.backbone.layer.8.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
269,vision_encoder.backbone.layer.8.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
270,vision_encoder.backbone.layer.9.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
271,vision_encoder.backbone.layer.9.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
272,vision_encoder.backbone.layer.9.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
273,vision_encoder.backbone.layer.9.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
274,vision_encoder.backbone.layer.9.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
275,vision_encoder.backbone.layer.9.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
276,vision_encoder.backbone.layer.9.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
277,vision_encoder.backbone.layer.9.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
278,vision_encoder.backbone.layer.10.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
279,vision_encoder.backbone.layer.10.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
280,vision_encoder.backbone.layer.10.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
281,vision_encoder.backbone.layer.10.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
282,vision_encoder.backbone.layer.10.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
283,vision_encoder.backbone.layer.10.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
284,vision_encoder.backbone.layer.10.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
285,vision_encoder.backbone.layer.10.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
286,vision_encoder.backbone.layer.11.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
287,vision_encoder.backbone.layer.11.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
288,vision_encoder.backbone.layer.11.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
289,vision_encoder.backbone.layer.11.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
290,vision_encoder.backbone.layer.11.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
291,vision_encoder.backbone.layer.11.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
292,vision_encoder.backbone.layer.11.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
293,vision_encoder.backbone.layer.11.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
294,vision_encoder.backbone.norm,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
295,vision_projection.skip,GEMM_W8A16,rtl_gemm,315136,150528,,768,8192,8192,147456,147456,100663296,192,786432,196608,262144
296,vision_projection.input_norm,LAYER_NORM,rtl_vector,196608,,196608,,,,,,,,,,1572864
297,vision_projection.mlp.0,GEMM_W8A16,rtl_gemm,1193728,551936,,2816,32768,32768,540672,540672,402653184,704,786432,786432,1048576
298,vision_projection.mlp.1,GELU,rtl_vector,163840,,163840,,,,,,,,,,2097152
299,vision_projection.mlp.3,GEMM_W8A16,rtl_gemm,421632,199680,,768,8192,8192,196608,196608,134217728,192,1048576,262144,262144
300,vision_projection.output_norm,LAYER_NORM,rtl_vector,65536,,65536,,,,,,,,,,524288
301,vision_language_interaction.fusion_layers.0.layer_norm_v,LAYER_NORM,rtl_vector,65536,,65536,,,,,,,,,,524288
302,vision_language_interaction.fusion_layers.0.layer_norm_l,LAYER_NORM,rtl_vector,2688,,2688,,,,,,,,,,21504
303,vision_language_interaction.fusion_layers.0.attn.v_proj,GEMM_W8A16,rtl_gemm,472832,191488,,2816,32768,32768,180224,180224,134217728,704,262144,262144,1048576
304,vision_language_interaction.fusion_layers.0.attn.l_proj,GEMM_W8A16,rtl_gemm,27100,11968,,176,1344,1344,10924,10924,5505024,44,10752,262144,43008
305,vision_language_interaction.fusion_layers.0.attn.values_v_proj,GEMM_W8A16,rtl_gemm,472832,191488,,2816,32768,32768,180224,180224,134217728,704,262144,262144,1048576
306,vision_language_interaction.fusion_layers.0.attn.values_l_proj,GEMM_W8A16,rtl_gemm,27100,11968,,176,1344,1344,10924,10924,5505024,44,10752,262144,43008
307,vision_language_interaction.fusion_layers.0.attn.out_v_proj,GEMM_W8A16,rtl_gemm,421632,199680,,768,8192,8192,196608,196608,134217728,192,1048576,262144,262144
308,vision_language_interaction.fusion_layers.0.attn.out_l_proj,GEMM_W8A16,rtl_gemm,24460,12480,,48,336,336,10924,10924,5505024,12,43008,262144,10752
309,vision_language_interaction.text_layers.0.self_attn,AUX_EVENT,aux_behavior,3360,,3360,,,,,,,,,,21504
310,vision_language_interaction.text_layers.0.norm1,LAYER_NORM,rtl_vector,2688,,2688,,,,,,,,,,21504
311,vision_language_interaction.text_layers.0.linear1,GEMM_W8A16,rtl_gemm,27100,11968,,176,1344,1344,10924,10924,5505024,44,10752,262144,43008
312,vision_language_interaction.text_layers.0.linear2,GEMM_W8A16,rtl_gemm,24460,12480,,48,336,336,10924,10924,5505024,12,43008,262144,10752
313,vision_language_interaction.text_layers.0.norm2,LAYER_NORM,rtl_vector,2688,,2688,,,,,,,,,,21504
314,vision_language_interaction.fusion_layers.1.layer_norm_v,LAYER_NORM,rtl_vector,65536,,65536,,,,,,,,,,524288
315,vision_language_interaction.fusion_layers.1.layer_norm_l,LAYER_NORM,rtl_vector,2688,,2688,,,,,,,,,,21504
316,vision_language_interaction.fusion_layers.1.attn.v_proj,GEMM_W8A16,rtl_gemm,472832,191488,,2816,32768,32768,180224,180224,134217728,704,262144,262144,1048576
317,vision_language_interaction.fusion_layers.1.attn.l_proj,GEMM_W8A16,rtl_gemm,27100,11968,,176,1344,1344,10924,10924,5505024,44,10752,262144,43008
318,vision_language_interaction.fusion_layers.1.attn.values_v_proj,GEMM_W8A16,rtl_gemm,472832,191488,,2816,32768,32768,180224,180224,134217728,704,262144,262144,1048576
319,vision_language_interaction.fusion_layers.1.attn.values_l_proj,GEMM_W8A16,rtl_gemm,27100,11968,,176,1344,1344,10924,10924,5505024,44,10752,262144,43008
320,vision_language_interaction.fusion_layers.1.attn.out_v_proj,GEMM_W8A16,rtl_gemm,421632,199680,,768,8192,8192,196608,196608,134217728,192,1048576,262144,262144
321,vision_language_interaction.fusion_layers.1.attn.out_l_proj,GEMM_W8A16,rtl_gemm,24460,12480,,48,336,336,10924,10924,5505024,12,43008,262144,10752
322,vision_language_interaction.text_layers.1.self_attn,AUX_EVENT,aux_behavior,3360,,3360,,,,,,,,,,21504
323,vision_language_interaction.text_layers.1.norm1,LAYER_NORM,rtl_vector,2688,,2688,,,,,,,,,,21504
324,vision_language_interaction.text_layers.1.linear1,GEMM_W8A16,rtl_gemm,27100,11968,,176,1344,1344,10924,10924,5505024,44,10752,262144,43008
325,vision_language_interaction.text_layers.1.linear2,GEMM_W8A16,rtl_gemm,24460,12480,,48,336,336,10924,10924,5505024,12,43008,262144,10752
326,vision_language_interaction.text_layers.1.norm2,LAYER_NORM,rtl_vector,2688,,2688,,,,,,,,,,21504
327,vision_language_interaction.fusion_layers.2.layer_norm_v,LAYER_NORM,rtl_vector,65536,,65536,,,,,,,,,,524288
328,vision_language_interaction.fusion_layers.2.layer_norm_l,LAYER_NORM,rtl_vector,2688,,2688,,,,,,,,,,21504
329,vision_language_interaction.fusion_layers.2.attn.v_proj,GEMM_W8A16,rtl_gemm,472832,191488,,2816,32768,32768,180224,180224,134217728,704,262144,262144,1048576
330,vision_language_interaction.fusion_layers.2.attn.l_proj,GEMM_W8A16,rtl_gemm,27100,11968,,176,1344,1344,10924,10924,5505024,44,10752,262144,43008
331,vision_language_interaction.fusion_layers.2.attn.values_v_proj,GEMM_W8A16,rtl_gemm,472832,191488,,2816,32768,32768,180224,180224,134217728,704,262144,262144,1048576
332,vision_language_interaction.fusion_layers.2.attn.values_l_proj,GEMM_W8A16,rtl_gemm,27100,11968,,176,1344,1344,10924,10924,5505024,44,10752,262144,43008
333,vision_language_interaction.fusion_layers.2.attn.out_v_proj,GEMM_W8A16,rtl_gemm,421632,199680,,768,8192,8192,196608,196608,134217728,192,1048576,262144,262144
334,vision_language_interaction.fusion_layers.2.attn.out_l_proj,GEMM_W8A16,rtl_gemm,24460,12480,,48,336,336,10924,10924,5505024,12,43008,262144,10752
335,vision_language_interaction.text_layers.2.self_attn,AUX_EVENT,aux_behavior,3360,,3360,,,,,,,,,,21504
336,vision_language_interaction.text_layers.2.norm1,LAYER_NORM,rtl_vector,2688,,2688,,,,,,,,,,21504
337,vision_language_interaction.text_layers.2.linear1,GEMM_W8A16,rtl_gemm,27100,11968,,176,1344,1344,10924,10924,5505024,44,10752,262144,43008
338,vision_language_interaction.text_layers.2.linear2,GEMM_W8A16,rtl_gemm,24460,12480,,48,336,336,10924,10924,5505024,12,43008,262144,10752
339,vision_language_interaction.text_layers.2.norm2,LAYER_NORM,rtl_vector,2688,,2688,,,,,,,,,,21504
340,vision_language_interaction.fusion_layers.3.layer_norm_v,LAYER_NORM,rtl_vector,65536,,65536,,,,,,,,,,524288
341,vision_language_interaction.fusion_layers.3.layer_norm_l,LAYER_NORM,rtl_vector,2688,,2688,,,,,,,,,,21504
342,vision_language_interaction.fusion_layers.3.attn.v_proj,GEMM_W8A16,rtl_gemm,472832,191488,,2816,32768,32768,180224,180224,134217728,704,262144,262144,1048576
343,vision_language_interaction.fusion_layers.3.attn.l_proj,GEMM_W8A16,rtl_gemm,27100,11968,,176,1344,1344,10924,10924,5505024,44,10752,262144,43008
344,vision_language_interaction.fusion_layers.3.attn.values_v_proj,GEMM_W8A16,rtl_gemm,472832,191488,,2816,32768,32768,180224,180224,134217728,704,262144,262144,1048576
345,vision_language_interaction.fusion_layers.3.attn.values_l_proj,GEMM_W8A16,rtl_gemm,27100,11968,,176,1344,1344,10924,10924,5505024,44,10752,262144,43008
346,vision_language_interaction.fusion_layers.3.attn.out_v_proj,GEMM_W8A16,rtl_gemm,421632,199680,,768,8192,8192,196608,196608,134217728,192,1048576,262144,262144
347,vision_language_interaction.fusion_layers.3.attn.out_l_proj,GEMM_W8A16,rtl_gemm,24460,12480,,48,336,336,10924,10924,5505024,12,43008,262144,10752
348,vision_language_interaction.text_layers.3.self_attn,AUX_EVENT,aux_behavior,3360,,3360,,,,,,,,,,21504
349,vision_language_interaction.text_layers.3.norm1,LAYER_NORM,rtl_vector,2688,,2688,,,,,,,,,,21504
350,vision_language_interaction.text_layers.3.linear1,GEMM_W8A16,rtl_gemm,27100,11968,,176,1344,1344,10924,10924,5505024,44,10752,262144,43008
351,vision_language_interaction.text_layers.3.linear2,GEMM_W8A16,rtl_gemm,24460,12480,,48,336,336,10924,10924,5505024,12,43008,262144,10752
352,vision_language_interaction.text_layers.3.norm2,LAYER_NORM,rtl_vector,2688,,2688,,,,,,,,,,21504
353,vision_language_interaction.fusion_layers.4.layer_norm_v,LAYER_NORM,rtl_vector,65536,,65536,,,,,,,,,,524288
354,vision_language_interaction.fusion_layers.4.layer_norm_l,LAYER_NORM,rtl_vector,2688,,2688,,,,,,,,,,21504
355,vision_language_interaction.fusion_layers.4.attn.v_proj,GEMM_W8A16,rtl_gemm,472832,191488,,2816,32768,32768,180224,180224,134217728,704,262144,262144,1048576
356,vision_language_interaction.fusion_layers.4.attn.l_proj,GEMM_W8A16,rtl_gemm,27100,11968,,176,1344,1344,10924,10924,5505024,44,10752,262144,43008
357,vision_language_interaction.fusion_layers.4.attn.values_v_proj,GEMM_W8A16,rtl_gemm,472832,191488,,2816,32768,32768,180224,180224,134217728,704,262144,262144,1048576
358,vision_language_interaction.fusion_layers.4.attn.values_l_proj,GEMM_W8A16,rtl_gemm,27100,11968,,176,1344,1344,10924,10924,5505024,44,10752,262144,43008
359,vision_language_interaction.fusion_layers.4.attn.out_v_proj,GEMM_W8A16,rtl_gemm,421632,199680,,768,8192,8192,196608,196608,134217728,192,1048576,262144,262144
360,vision_language_interaction.fusion_layers.4.attn.out_l_proj,GEMM_W8A16,rtl_gemm,24460,12480,,48,336,336,10924,10924,5505024,12,43008,262144,10752
361,vision_language_interaction.text_layers.4.self_attn,AUX_EVENT,aux_behavior,3360,,3360,,,,,,,,,,21504
362,vision_language_interaction.text_layers.4.norm1,LAYER_NORM,rtl_vector,2688,,2688,,,,,,,,,,21504
363,vision_language_interaction.text_layers.4.linear1,GEMM_W8A16,rtl_gemm,27100,11968,,176,1344,1344,10924,10924,5505024,44,10752,262144,43008
