seq,module_path,op,mapping,total_cycles,compute_cycles,fallback_cycles,snapshot_cycles,requant_cycles,write_cycles,activation_read_cycles,weight_read_cycles,valid_mac_count,tile_count,activation_bytes,weight_bytes,output_bytes
117,vision_encoder.backbone.layer.2.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
118,vision_encoder.backbone.layer.2.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
119,vision_encoder.backbone.layer.2.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
120,vision_encoder.backbone.layer.2.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
121,vision_encoder.backbone.layer.2.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
122,vision_encoder.backbone.layer.2.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
123,vision_encoder.backbone.layer.2.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
124,vision_encoder.backbone.layer.3.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
125,vision_encoder.backbone.layer.3.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
126,vision_encoder.backbone.layer.3.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
127,vision_encoder.backbone.layer.3.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
128,vision_encoder.backbone.layer.3.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
129,vision_encoder.backbone.layer.3.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
130,vision_encoder.backbone.layer.3.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
131,vision_encoder.backbone.layer.3.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
132,vision_encoder.backbone.layer.4.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
133,vision_encoder.backbone.layer.4.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
134,vision_encoder.backbone.layer.4.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
135,vision_encoder.backbone.layer.4.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
136,vision_encoder.backbone.layer.4.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
137,vision_encoder.backbone.layer.4.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
138,vision_encoder.backbone.layer.4.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
139,vision_encoder.backbone.layer.4.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
140,vision_encoder.backbone.layer.5.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
141,vision_encoder.backbone.layer.5.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
142,vision_encoder.backbone.layer.5.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
143,vision_encoder.backbone.layer.5.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
144,vision_encoder.backbone.layer.5.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
145,vision_encoder.backbone.layer.5.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
146,vision_encoder.backbone.layer.5.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
147,vision_encoder.backbone.layer.5.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
148,vision_encoder.backbone.layer.6.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
