seq,module_path,op,mapping,optimization_flags,total_cycles,base_total_cycles,serial_total_cycles,compute_cycles,fallback_cycles,snapshot_cycles,requant_cycles,write_cycles,base_write_cycles,activation_read_cycles,base_activation_read_cycles,weight_read_cycles,base_weight_read_cycles,valid_mac_count,tile_count,activation_bytes,weight_bytes,output_bytes,pipeline_guard_cycles
20,text_encoder.bert.encoder.layer.2.attention.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
21,text_encoder.bert.encoder.layer.2.attention.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
22,text_encoder.bert.encoder.layer.2.intermediate.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",100368,211264,162112,100352,,512,4032,4032,4032,1008,64512,49152,98304,49545216,128,32256,2359296,129024,16
23,text_encoder.bert.encoder.layer.2.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",98832,200272,151120,98816,,128,1008,1008,1008,4032,64512,49152,98304,49545216,32,129024,2359296,32256,16
24,text_encoder.bert.encoder.layer.2.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
25,text_encoder.bert.encoder.layer.3.attention.self.query,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
26,text_encoder.bert.encoder.layer.3.attention.self.key,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
27,text_encoder.bert.encoder.layer.3.attention.self.value,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
28,text_encoder.bert.encoder.layer.3.attention.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
29,text_encoder.bert.encoder.layer.3.attention.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
30,text_encoder.bert.encoder.layer.3.intermediate.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",100368,211264,162112,100352,,512,4032,4032,4032,1008,64512,49152,98304,49545216,128,32256,2359296,129024,16
31,text_encoder.bert.encoder.layer.3.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",98832,200272,151120,98816,,128,1008,1008,1008,4032,64512,49152,98304,49545216,32,129024,2359296,32256,16
32,text_encoder.bert.encoder.layer.3.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
33,text_encoder.bert.encoder.layer.4.attention.self.query,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
34,text_encoder.bert.encoder.layer.4.attention.self.key,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
35,text_encoder.bert.encoder.layer.4.attention.self.value,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
36,text_encoder.bert.encoder.layer.4.attention.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
37,text_encoder.bert.encoder.layer.4.attention.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
38,text_encoder.bert.encoder.layer.4.intermediate.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",100368,211264,162112,100352,,512,4032,4032,4032,1008,64512,49152,98304,49545216,128,32256,2359296,129024,16
39,text_encoder.bert.encoder.layer.4.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",98832,200272,151120,98816,,128,1008,1008,1008,4032,64512,49152,98304,49545216,32,129024,2359296,32256,16
40,text_encoder.bert.encoder.layer.4.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
41,text_encoder.bert.encoder.layer.5.attention.self.query,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
42,text_encoder.bert.encoder.layer.5.attention.self.key,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
43,text_encoder.bert.encoder.layer.5.attention.self.value,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
44,text_encoder.bert.encoder.layer.5.attention.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
45,text_encoder.bert.encoder.layer.5.attention.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
46,text_encoder.bert.encoder.layer.5.intermediate.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",100368,211264,162112,100352,,512,4032,4032,4032,1008,64512,49152,98304,49545216,128,32256,2359296,129024,16
47,text_encoder.bert.encoder.layer.5.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",98832,200272,151120,98816,,128,1008,1008,1008,4032,64512,49152,98304,49545216,32,129024,2359296,32256,16
