descriptor_id,source_seq,module_path,op,mapping,total_cycles,base_total_cycles,fallback_cycles,vector_cycles,activation_read_cycles,weight_read_cycles,write_cycles,snapshot_cycles,requant_cycles,valid_mac_count,tile_count,activation_bytes,weight_bytes,output_bytes,active_pe_cycles,serial_total_cycles,compute_cycles,base_write_cycles,bias_cycles,write_coalesced,mode
51,51,text_encoder.bert.encoder.layer.6.attention.self.value,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
52,52,text_encoder.bert.encoder.layer.6.attention.output.dense,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
53,53,text_encoder.bert.encoder.layer.6.attention.output.LayerNorm,LAYER_NORM,aux_behavior,8064,8064,8064,8064,4032,0,4032,0,0,0,0,64512,0,64512,0,,,,,,
54,54,text_encoder.bert.encoder.layer.6.intermediate.dense,GEMM_W8A8,rtl_gemm,50184,111680,0,,49152,49152,4032,256,4032,49545216,64,16128,2359296,64512,24772608,111680,50176,4032,4032,False,r5_conditional
55,55,text_encoder.bert.encoder.layer.6.output.dense,GEMM_W8A8,rtl_gemm,49416,101648,0,,49152,49152,1008,64,1008,49545216,16,64512,2359296,16128,24772608,101648,49408,1008,1008,False,r5_conditional
56,56,text_encoder.bert.encoder.layer.6.output.LayerNorm,LAYER_NORM,aux_behavior,8064,8064,8064,8064,4032,0,4032,0,0,0,0,64512,0,64512,0,,,,,,
57,57,text_encoder.bert.encoder.layer.7.attention.self.query,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
58,58,text_encoder.bert.encoder.layer.7.attention.self.key,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
59,59,text_encoder.bert.encoder.layer.7.attention.self.value,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
60,60,text_encoder.bert.encoder.layer.7.attention.output.dense,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
61,61,text_encoder.bert.encoder.layer.7.attention.output.LayerNorm,LAYER_NORM,aux_behavior,8064,8064,8064,8064,4032,0,4032,0,0,0,0,64512,0,64512,0,,,,,,
62,62,text_encoder.bert.encoder.layer.7.intermediate.dense,GEMM_W8A8,rtl_gemm,50184,111680,0,,49152,49152,4032,256,4032,49545216,64,16128,2359296,64512,24772608,111680,50176,4032,4032,False,r5_conditional
63,63,text_encoder.bert.encoder.layer.7.output.dense,GEMM_W8A8,rtl_gemm,49416,101648,0,,49152,49152,1008,64,1008,49545216,16,64512,2359296,16128,24772608,101648,49408,1008,1008,False,r5_conditional
64,64,text_encoder.bert.encoder.layer.7.output.LayerNorm,LAYER_NORM,aux_behavior,8064,8064,8064,8064,4032,0,4032,0,0,0,0,64512,0,64512,0,,,,,,
65,65,text_encoder.bert.encoder.layer.8.attention.self.query,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
66,66,text_encoder.bert.encoder.layer.8.attention.self.key,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
67,67,text_encoder.bert.encoder.layer.8.attention.self.value,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
68,68,text_encoder.bert.encoder.layer.8.attention.output.dense,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
69,69,text_encoder.bert.encoder.layer.8.attention.output.LayerNorm,LAYER_NORM,aux_behavior,8064,8064,8064,8064,4032,0,4032,0,0,0,0,64512,0,64512,0,,,,,,
70,70,text_encoder.bert.encoder.layer.8.intermediate.dense,GEMM_W8A8,rtl_gemm,50184,111680,0,,49152,49152,4032,256,4032,49545216,64,16128,2359296,64512,24772608,111680,50176,4032,4032,False,r5_conditional
71,71,text_encoder.bert.encoder.layer.8.output.dense,GEMM_W8A8,rtl_gemm,49416,101648,0,,49152,49152,1008,64,1008,49545216,16,64512,2359296,16128,24772608,101648,49408,1008,1008,False,r5_conditional
72,72,text_encoder.bert.encoder.layer.8.output.LayerNorm,LAYER_NORM,aux_behavior,8064,8064,8064,8064,4032,0,4032,0,0,0,0,64512,0,64512,0,,,,,,
73,73,text_encoder.bert.encoder.layer.9.attention.self.query,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
74,74,text_encoder.bert.encoder.layer.9.attention.self.key,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
75,75,text_encoder.bert.encoder.layer.9.attention.self.value,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
76,76,text_encoder.bert.encoder.layer.9.attention.output.dense,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
77,77,text_encoder.bert.encoder.layer.9.attention.output.LayerNorm,LAYER_NORM,aux_behavior,8064,8064,8064,8064,4032,0,4032,0,0,0,0,64512,0,64512,0,,,,,,
78,78,text_encoder.bert.encoder.layer.9.intermediate.dense,GEMM_W8A8,rtl_gemm,50184,111680,0,,49152,49152,4032,256,4032,49545216,64,16128,2359296,64512,24772608,111680,50176,4032,4032,False,r5_conditional
79,79,text_encoder.bert.encoder.layer.9.output.dense,GEMM_W8A8,rtl_gemm,49416,101648,0,,49152,49152,1008,64,1008,49545216,16,64512,2359296,16128,24772608,101648,49408,1008,1008,False,r5_conditional
80,80,text_encoder.bert.encoder.layer.9.output.LayerNorm,LAYER_NORM,aux_behavior,8064,8064,8064,8064,4032,0,4032,0,0,0,0,64512,0,64512,0,,,,,,
81,81,text_encoder.bert.encoder.layer.10.attention.self.query,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
82,82,text_encoder.bert.encoder.layer.10.attention.self.key,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
83,83,text_encoder.bert.encoder.layer.10.attention.self.value,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
84,84,text_encoder.bert.encoder.layer.10.attention.output.dense,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
85,85,text_encoder.bert.encoder.layer.10.attention.output.LayerNorm,LAYER_NORM,aux_behavior,8064,8064,8064,8064,4032,0,4032,0,0,0,0,64512,0,64512,0,,,,,,
86,86,text_encoder.bert.encoder.layer.10.intermediate.dense,GEMM_W8A8,rtl_gemm,50184,111680,0,,49152,49152,4032,256,4032,49545216,64,16128,2359296,64512,24772608,111680,50176,4032,4032,False,r5_conditional
87,87,text_encoder.bert.encoder.layer.10.output.dense,GEMM_W8A8,rtl_gemm,49416,101648,0,,49152,49152,1008,64,1008,49545216,16,64512,2359296,16128,24772608,101648,49408,1008,1008,False,r5_conditional
88,88,text_encoder.bert.encoder.layer.10.output.LayerNorm,LAYER_NORM,aux_behavior,8064,8064,8064,8064,4032,0,4032,0,0,0,0,64512,0,64512,0,,,,,,
89,89,text_encoder.bert.encoder.layer.11.attention.self.query,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
90,90,text_encoder.bert.encoder.layer.11.attention.self.key,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
91,91,text_encoder.bert.encoder.layer.11.attention.self.value,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
92,92,text_encoder.bert.encoder.layer.11.attention.output.dense,GEMM_W8A8,rtl_gemm,12552,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,r5_conditional
93,93,text_encoder.bert.encoder.layer.11.attention.output.LayerNorm,LAYER_NORM,aux_behavior,8064,8064,8064,8064,4032,0,4032,0,0,0,0,64512,0,64512,0,,,,,,
94,94,text_encoder.bert.encoder.layer.11.intermediate.dense,GEMM_W8A8,rtl_gemm,50184,111680,0,,49152,49152,4032,256,4032,49545216,64,16128,2359296,64512,24772608,111680,50176,4032,4032,False,r5_conditional
95,95,text_encoder.bert.encoder.layer.11.output.dense,GEMM_W8A8,rtl_gemm,49416,101648,0,,49152,49152,1008,64,1008,49545216,16,64512,2359296,16128,24772608,101648,49408,1008,1008,False,r5_conditional
96,96,text_encoder.bert.encoder.layer.11.output.LayerNorm,LAYER_NORM,aux_behavior,8064,8064,8064,8064,4032,0,4032,0,0,0,0,64512,0,64512,0,,,,,,
97,97,text_encoder.bert.pooler.dense,GEMM_W8A8,rtl_gemm,6280,12592,0,,6144,6144,48,32,48,589824,8,768,589824,768,294912,12592,6272,48,48,False,r5_conditional
98,98,text_encoder.text_projection,GEMM_W8A8,rtl_gemm,4712,10344,0,,4608,4608,336,24,336,4128768,6,16128,196608,5376,2064384,10344,4704,336,336,False,r5_conditional
99,99,vision_encoder.backbone.embeddings.patch_embeddings,AUX_EVENT,aux_behavior,147456,147456,147456,0,49152,0,24576,0,0,0,0,786432,0,393216,0,,,,,,
100,100,vision_encoder.backbone.layer.0.norm1,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
101,101,vision_encoder.backbone.layer.0.attention.q_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
102,102,vision_encoder.backbone.layer.0.attention.k_proj,GEMM_W8A8,rtl_gemm,106632,236672,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,236672,106624,12528,0,False,r5_conditional
103,103,vision_encoder.backbone.layer.0.attention.v_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
104,104,vision_encoder.backbone.layer.0.attention.o_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
105,105,vision_encoder.backbone.layer.0.norm2,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
106,106,vision_encoder.backbone.layer.0.mlp.up_proj,GEMM_W8A8,rtl_gemm,426504,996800,0,,417792,417792,50112,2176,50112,615776256,544,200448,2359296,801792,307888128,996800,426496,50112,50112,False,r5_conditional
107,107,vision_encoder.backbone.layer.0.mlp.down_proj,GEMM_W8A8,rtl_gemm,419976,875888,0,,417792,417792,12528,544,12528,615776256,136,801792,2359296,200448,307888128,875888,419968,12528,12528,False,r5_conditional
108,108,vision_encoder.backbone.layer.1.norm1,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
109,109,vision_encoder.backbone.layer.1.attention.q_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
110,110,vision_encoder.backbone.layer.1.attention.k_proj,GEMM_W8A8,rtl_gemm,106632,236672,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,236672,106624,12528,0,False,r5_conditional
111,111,vision_encoder.backbone.layer.1.attention.v_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
112,112,vision_encoder.backbone.layer.1.attention.o_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
113,113,vision_encoder.backbone.layer.1.norm2,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
114,114,vision_encoder.backbone.layer.1.mlp.up_proj,GEMM_W8A8,rtl_gemm,426504,996800,0,,417792,417792,50112,2176,50112,615776256,544,200448,2359296,801792,307888128,996800,426496,50112,50112,False,r5_conditional
115,115,vision_encoder.backbone.layer.1.mlp.down_proj,GEMM_W8A8,rtl_gemm,419976,875888,0,,417792,417792,12528,544,12528,615776256,136,801792,2359296,200448,307888128,875888,419968,12528,12528,False,r5_conditional
116,116,vision_encoder.backbone.layer.2.norm1,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
117,117,vision_encoder.backbone.layer.2.attention.q_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
118,118,vision_encoder.backbone.layer.2.attention.k_proj,GEMM_W8A8,rtl_gemm,106632,236672,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,236672,106624,12528,0,False,r5_conditional
119,119,vision_encoder.backbone.layer.2.attention.v_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
120,120,vision_encoder.backbone.layer.2.attention.o_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
121,121,vision_encoder.backbone.layer.2.norm2,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
122,122,vision_encoder.backbone.layer.2.mlp.up_proj,GEMM_W8A8,rtl_gemm,426504,996800,0,,417792,417792,50112,2176,50112,615776256,544,200448,2359296,801792,307888128,996800,426496,50112,50112,False,r5_conditional
123,123,vision_encoder.backbone.layer.2.mlp.down_proj,GEMM_W8A8,rtl_gemm,419976,875888,0,,417792,417792,12528,544,12528,615776256,136,801792,2359296,200448,307888128,875888,419968,12528,12528,False,r5_conditional
124,124,vision_encoder.backbone.layer.3.norm1,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
125,125,vision_encoder.backbone.layer.3.attention.q_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
126,126,vision_encoder.backbone.layer.3.attention.k_proj,GEMM_W8A8,rtl_gemm,106632,236672,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,236672,106624,12528,0,False,r5_conditional
127,127,vision_encoder.backbone.layer.3.attention.v_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
128,128,vision_encoder.backbone.layer.3.attention.o_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
129,129,vision_encoder.backbone.layer.3.norm2,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
130,130,vision_encoder.backbone.layer.3.mlp.up_proj,GEMM_W8A8,rtl_gemm,426504,996800,0,,417792,417792,50112,2176,50112,615776256,544,200448,2359296,801792,307888128,996800,426496,50112,50112,False,r5_conditional
131,131,vision_encoder.backbone.layer.3.mlp.down_proj,GEMM_W8A8,rtl_gemm,419976,875888,0,,417792,417792,12528,544,12528,615776256,136,801792,2359296,200448,307888128,875888,419968,12528,12528,False,r5_conditional
132,132,vision_encoder.backbone.layer.4.norm1,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
133,133,vision_encoder.backbone.layer.4.attention.q_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
134,134,vision_encoder.backbone.layer.4.attention.k_proj,GEMM_W8A8,rtl_gemm,106632,236672,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,236672,106624,12528,0,False,r5_conditional
135,135,vision_encoder.backbone.layer.4.attention.v_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
136,136,vision_encoder.backbone.layer.4.attention.o_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
137,137,vision_encoder.backbone.layer.4.norm2,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
138,138,vision_encoder.backbone.layer.4.mlp.up_proj,GEMM_W8A8,rtl_gemm,426504,996800,0,,417792,417792,50112,2176,50112,615776256,544,200448,2359296,801792,307888128,996800,426496,50112,50112,False,r5_conditional
139,139,vision_encoder.backbone.layer.4.mlp.down_proj,GEMM_W8A8,rtl_gemm,419976,875888,0,,417792,417792,12528,544,12528,615776256,136,801792,2359296,200448,307888128,875888,419968,12528,12528,False,r5_conditional
140,140,vision_encoder.backbone.layer.5.norm1,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
141,141,vision_encoder.backbone.layer.5.attention.q_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
142,142,vision_encoder.backbone.layer.5.attention.k_proj,GEMM_W8A8,rtl_gemm,106632,236672,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,236672,106624,12528,0,False,r5_conditional
143,143,vision_encoder.backbone.layer.5.attention.v_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
144,144,vision_encoder.backbone.layer.5.attention.o_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
145,145,vision_encoder.backbone.layer.5.norm2,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
146,146,vision_encoder.backbone.layer.5.mlp.up_proj,GEMM_W8A8,rtl_gemm,426504,996800,0,,417792,417792,50112,2176,50112,615776256,544,200448,2359296,801792,307888128,996800,426496,50112,50112,False,r5_conditional
147,147,vision_encoder.backbone.layer.5.mlp.down_proj,GEMM_W8A8,rtl_gemm,419976,875888,0,,417792,417792,12528,544,12528,615776256,136,801792,2359296,200448,307888128,875888,419968,12528,12528,False,r5_conditional
148,148,vision_encoder.backbone.layer.6.norm1,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
149,149,vision_encoder.backbone.layer.6.attention.q_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
150,150,vision_encoder.backbone.layer.6.attention.k_proj,GEMM_W8A8,rtl_gemm,106632,236672,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,236672,106624,12528,0,False,r5_conditional
151,151,vision_encoder.backbone.layer.6.attention.v_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
152,152,vision_encoder.backbone.layer.6.attention.o_proj,GEMM_W8A8,rtl_gemm,106632,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,r5_conditional
153,153,vision_encoder.backbone.layer.6.norm2,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
154,154,vision_encoder.backbone.layer.6.mlp.up_proj,GEMM_W8A8,rtl_gemm,426504,996800,0,,417792,417792,50112,2176,50112,615776256,544,200448,2359296,801792,307888128,996800,426496,50112,50112,False,r5_conditional
155,155,vision_encoder.backbone.layer.6.mlp.down_proj,GEMM_W8A8,rtl_gemm,419976,875888,0,,417792,417792,12528,544,12528,615776256,136,801792,2359296,200448,307888128,875888,419968,12528,12528,False,r5_conditional
156,156,vision_encoder.backbone.layer.7.norm1,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
